fund_code,fund_name,fund_type
000606,天弘优选债券A,债券型
000607,招商招钱宝货币B,货币型
000609,华商新量化混合A,混合型
000612,华宝生态中国混合A,混合型
000613,国寿安保沪深300ETF联接A,指数型
000614,华安德国(DAX)联接(QDII)A,指数型
000615,长城工资宝货币A,货币型
000618,嘉实薪金宝货币A,货币型
000619,东方红产业升级混合,混合型
000620,易方达现金增利货币A,货币型
000621,易方达现金增利货币B,货币型
000625,诺安天天宝B,货币型
000626,大成丰财宝货币A,货币型
000627,大成丰财宝货币B,货币型
000628,大成高鑫股票A,股票型
000634,富国天盛灵活配置基金,混合型
000635,富国天盛灵活配置基金(后端),混合型
000638,富国富钱包货币A,货币型
000639,宝盈祥瑞混合A,混合型
000640,诺安理财宝货币A,货币型
000641,诺安理财宝货币B,货币型
000642,汇添富货币C,货币型
000644,招商招金宝货币A,货币型
000645,华夏薪金宝货币,货币型
000646,华润元大量化优选混合A,混合型
000647,易方达财富快线货币A,货币型
000648,易方达财富快线货币B,货币型
000649,长城久鑫混合A,混合型
000650,汇添富货币D,货币型
000651,招商招金宝货币B,货币型
000652,博时裕隆灵活配置混合A,混合型
000654,华商新锐产业混合,混合型
000655,鑫元稳利债券,债券型
000656,前海开源沪深300指数A,指数型
000657,银华活钱宝货币A,货币型
000658,银华活钱宝货币B,货币型
000659,银华活钱宝货币C,货币型
000660,银华活钱宝货币D,货币型
000661,银华活钱宝货币E,货币型
000662,银华活钱宝货币F,货币型
000663,国投瑞银美丽中国混合A,混合型
000664,国联安通盈混合A,混合型
000665,博时现金收益货币B,货币型
000667,工银绝对收益混合发起A,混合型
000668,国寿安保尊享债券A,债券型
000669,国寿安保尊享债券C,债券型
000672,工银绝对收益混合发起B,混合型
000673,融通四季添利债券(LOF)C,债券型
000674,中海中短债债券A,债券型
000677,工银现金货币A,货币型
000678,华宝现金宝货币E,货币型
000679,招商丰利灵活配置混合A,混合型
000681,信澳慧管家货币A,货币型
000682,信澳慧管家货币C,货币型
000683,信澳慧管家货币E,货币型
000684,长盛养老健康混合A,混合型
000686,建信嘉薪宝货币A,货币型
000687,南方薪金宝货币A,货币型
000688,景顺长城研究精选股票A,股票型
000689,前海开源新经济混合A,混合型
000690,前海开源大海洋混合,混合型
000692,汇添富双利债券C,债券型
000693,建信现金添利货币A,货币型
000694,鑫元鸿利A,债券型
000696,汇添富环保行业股票,股票型
000697,汇添富移动互联股票A,股票型
000698,宝盈科技30混合,混合型
000699,中银薪钱包货币,货币型
000700,宏利货币B,货币型
000701,景顺长城景丰货币A,货币型
000704,易方达天天增利货币A,货币型
000705,易方达天天增利货币B,货币型
000706,中邮多策略灵活配置混合,混合型
000707,景顺长城景丰货币B,货币型
000709,华安汇财通货币,货币型
000710,交银现金宝货币A,货币型
000711,嘉实医疗保健股票,股票型
000712,摩根天添宝货币A,货币型
000713,摩根天添宝货币B,货币型
000714,诺安稳健回报混合A,混合型
000715,民生加银高等级信用债E,债券型
000716,工银薪金货币B,货币型
000717,融通转型三动力灵活配置混合A,混合型
000718,融通转型三动力灵活配置混合A(后端),混合型
000719,南方现金通E,货币型
000720,南方稳利1年持有期债券C,债券型
000721,兴业货币A,货币型
000722,兴业货币B,货币型
000724,大成添利宝货币A,货币型
000725,大成添利宝货币B,货币型
000726,大成添利宝货币E,货币型
000727,融通健康产业灵活配置混合A/B,混合型
000728,工银目标收益一年定开C,债券型
000729,建信中小盘先锋股票A,股票型
000730,博时现金宝货币A,货币型
000731,融通健康产业灵活配置混合A/B(后端),混合型
000734,博时天天增利货币A,货币型
000735,博时天天增利货币B,货币型
000736,诺安聚利债券A,债券型
000737,诺安聚利债券C,债券型
000739,平安新鑫先锋A,混合型
000740,兴银货币B,货币型
000741,兴银货币A,货币型
000742,国泰新经济灵活配置混合A,混合型
000743,红塔红土盛世普益混合发起式,混合型
000744,华银稳定收益A,债券型
000745,华银稳定收益C,债券型
000746,招商行业精选股票基金,股票型
000747,广发逆向策略混合A,混合型
000748,广发活期宝货币A,货币型
000750,安信现金增利货币A,货币型
000751,嘉实新兴产业股票,股票型
000753,华宝量化对冲混合A,混合型
000754,华宝量化对冲混合C,混合型
000755,富安达新兴成长混合A,混合型
000756,建信潜力新蓝筹股票A,股票型
000757,华富智慧城市灵活配置混合A,混合型
000758,招商招钱宝货币C,货币型
000759,平安财富宝货币A,货币型
000760,工银财富货币A,货币型
000761,国富健康优质生活股票,股票型
000762,汇添富绝对收益定开混合A,混合型
000763,工银新财富灵活配置混合,混合型
000764,万家货币E,货币型
000767,华富国泰民安灵活配置混合A,混合型
000771,诺安聚鑫宝货币A,货币型
000772,景顺长城中国回报混合A,混合型
000773,万家现金宝货币A,货币型
000778,鹏华先进制造股票,股票型
000779,诺安聚鑫宝货币B,货币型
000780,鹏华医疗保健股票,股票型
000783,博时季季享持有期A,债券型
000784,博时季季享持有期B,债券型
000785,国新国证现金增利货币A,货币型
000786,国新国证现金增利货币B,货币型
000787,国新国证现金增利货币C,货币型
000788,前海开源中国成长混合,混合型
000789,易方达龙宝货币A,货币型
000790,易方达龙宝货币B,货币型
000791,银华安颐中短债双月持有期债券C,债券型
000792,招商定期宝六个月期理财债券,债券型
000793,工银高端制造股票,股票型
000794,宝盈睿丰创新混合A/B,混合型
000795,宝盈睿丰创新混合A/B(后端),混合型
000796,宝盈睿丰创新混合C,混合型
000797,方正富邦金小宝货币A,货币型
000799,民生加银半年理财A,债券型
000800,华商未来主题混合,混合型
000801,中金纯债A,债券型
000802,中金纯债C,债券型
000803,工银研究精选股票,股票型
000804,中信建投稳利混合A,混合型
000805,中银新经济灵活配置混合A,混合型
000808,招商招利1个月期理财债券A,债券型
000809,招商招利1个月期理财债券B,债券型
000810,富国收益增强债券A,债券型
000812,富国收益增强债券C,债券型
000814,鑫元合享纯债C,债券型
000815,鑫元合享纯债A,债券型
000816,南方理财金交易型货币A,货币型
000817,中银安心回报,债券型
000818,诺安天天宝C,货币型
000822,东海美丽中国A,混合型
000823,银华高端制造业混合A,混合型
000824,圆信永丰双利A,混合型
000825,圆信永丰双利C,混合型
000826,广发百发100指数A,指数型
000827,广发百发100指数E,指数型
000828,宏利转型机遇股票A,股票型
000829,易方达天天发货币A,货币型
000830,易方达天天发货币B,货币型
000831,工银医疗保健股票,股票型
000832,天弘现金管家货币C,货币型
000833,易方达富华纯债C,债券型
000834,大成纳斯达克100ETF联接(QDII)A,指数型
000835,华润元大富时中国A50指数A,指数型
000836,国投瑞银钱多宝货币A,货币型
000837,国投瑞银钱多宝货币I,货币型
000839,摩根纯债丰利债券A,债券型
000840,摩根纯债丰利债券C,债券型
000841,富国新回报灵活配置混合A/B,混合型
000842,富国新回报灵活配置混合A/B(后端),混合型
000843,富国新回报灵活配置混合C,混合型
000844,南方绝对收益,混合型
000845,国投瑞银信息消费混合A,混合型
000846,国联货币C,货币型
000847,国联货币A,货币型
000848,工银添益快线货币A,货币型
000849,汇丰晋信双核策略混合A,混合型
000850,汇丰晋信双核策略混合C,混合型
000854,鹏华养老产业股票,股票型
000855,摩根天添盈货币A,货币型
000856,摩根天添盈货币B,货币型
000857,摩根天添盈货币E,货币型
000860,银华惠增利货币A,货币型
000861,长城货币E,货币型
000862,富国天时货币C,货币型
000863,富国天时货币D,货币型
000866,华宝制造股票,股票型
000867,华宝品质生活股票,股票型
000868,国投瑞银增利宝货币A,货币型
000869,国投瑞银增利宝货币B,货币型
000870,嘉实新收益混合,混合型
000871,华银宜投宝A,货币型
000872,华银宜投宝B,货币型
000873,华安现金宝货币A,货币型
000874,华安现金宝货币B,货币型
000875,建信稳定得利债券A,债券型
000876,建信稳定得利债券C,债券型
000877,华泰柏瑞量化优选混合,混合型
000878,中海医药健康产业精选混合A,混合型
000879,中海医药健康产业精选混合C,混合型
000880,富国研究精选灵活配置混合A,混合型
000882,中金现金管家货币A,货币型
000883,中金现金管家货币B,货币型
000884,民生加银优选股票,股票型
000891,博时现金宝货币B,货币型
000892,九泰天宝灵活配置混合A,混合型
000893,工银创新动力股票,股票型
000894,中欧睿达6个月持有混合A,混合型
000895,国寿安保薪金宝货币A,货币型
000896,鑫元聚鑫收益增强A,债券型
000897,鑫元聚鑫收益增强C,债券型
000898,华富恒稳纯债债券A,债券型
000899,华富恒稳纯债债券C,债券型
000903,新华活期添利货币A,货币型
000904,银华回报定开混合,混合型
000905,鹏华安盈宝货币A,货币型
000906,广发全球精选股票(QDII)美元A,QDII
000907,农银红利日结货币A,货币型
000908,农银红利日结货币B,货币型
000910,鑫元合丰纯债C,债券型
000911,鑫元合丰纯债A,债券型
000912,英大现金宝A,货币型
000913,农银医疗保健股票,股票型
000914,中加纯债债券,债券型
000916,前海开源股息率100强股票A,股票型
000917,嘉实快线货币A,货币型
000920,易方达财富快线货币C,货币型
000921,中邮现金驿站货币A,货币型
000922,中邮现金驿站货币B,货币型
000923,中邮现金驿站货币C,货币型
000924,宝盈先进制造混合A,混合型
000925,汇添富外延增长股票A,股票型
000926,中信建投睿信灵活配置混合A,混合型
000927,博时大中华亚太精选美元现汇,QDII
000928,国联国企改革混合A,混合型
000929,博时黄金D,指数型
000930,博时黄金I,指数型
000931,国寿安保尊益信用纯债债券,债券型
000932,前海开源睿远稳健增利混合A,混合型
000933,前海开源睿远稳健增利混合C,混合型
000934,国富大中华精选混合,QDII
000935,浙商汇金转型成长,混合型
000936,博时产业新动力混合A,混合型
000939,中银研究精选灵活配置混合A,混合型
000940,富国中小盘精选混合A,混合型
000941,富国中小盘精选混合A(后端),混合型
000942,广发信息技术联接A,指数型
000943,工银中高等级信用债债券A,债券型
000944,工银中高等级信用债债券B,债券型
000945,华夏医疗健康混合A,混合型
000946,华夏医疗健康混合C,混合型
000948,华夏沪港通恒生ETF联接A,指数型
000950,易方达证券保险ETF联接A,指数型
000955,南方产业活力,股票型
000960,招商医药健康产业股票,股票型
000961,天弘沪深300ETF联接A,指数型
000962,天弘中证500ETF联接A,指数型
000963,兴业多策略混合,混合型
000965,汇丰晋信新动力混合A,混合型
000966,中邮核心科技创新灵活配置混合,混合型
000967,华泰柏瑞创新动力混合,混合型
000968,广发养老指数A,指数型
000969,前海开源大安全混合,混合型
000970,东方红睿元混合,混合型
000971,诺安新经济股票,股票型
000973,新华增盈回报债券,债券型
000974,安信消费医药股票A,股票型
000975,MSCI中国A股国际通联接A,指数型
000976,长城新兴产业混合A,混合型
000977,长城环保主题混合A,混合型
000978,景顺长城量化精选股票A,股票型
000979,景顺长城沪港深精选股票A,股票型
000980,汇添富添富通货币B,货币型
000981,华银现金添利A,货币型
000982,华银现金添利B,货币型
000985,嘉实逆向策略股票,股票型
000986,太平灵活配置,混合型
000988,嘉实全球互联网股票人民币,QDII
000989,嘉实全球互联网股票美元现汇,QDII
000990,嘉实全球互联网股票美元现钞,QDII
000991,工银战略转型股票A,股票型
000992,广发对冲套利定期开放混合,混合型
000993,华宝稳健回报混合,混合型
000994,建信睿盈灵活配置混合A,混合型
000995,建信睿盈灵活配置混合C,混合型
000996,中银新动力股票A,股票型
000997,南方双元A,债券型
000998,南方双元C,债券型
001000,中欧明睿新起点混合,混合型
001001,华夏债券A/B,债券型
001002,华夏债券A/B(后端),债券型
001003,华夏债券C,债券型
001004,新华稳健回报灵活配置混合发起,混合型
001006,中信建投凤凰货币A,货币型
001007,国联安鑫安灵活配置混合,混合型
001008,工银国企改革股票,股票型
001009,摩根安全战略股票A,股票型
001010,易方达增金宝货币A,货币型
001011,华夏希望债券A,债券型
001013,华夏希望债券C,债券型
001015,华夏沪深300指数增强A,指数型
001016,华夏沪深300指数增强C,指数型
001017,宏利改革动力混合A,混合型
001018,易方达新经济混合,混合型
001019,兴业年年利定开债,债券型
001021,华夏亚债中国指数A,指数型
001023,华夏亚债中国指数C,指数型
